Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
1.05045,1.0507,1.05035,1.05045,10,1.05049,10,40,0.001689,-0.001011,-0.000873,NO,NO
1.0503,1.0503,1.04965,1.04965,11,1.050005,10,45,0.0010815,-0.001686,-0.000729,NO,NO
1.04965,1.05005,1.0496,1.04975,34,1.04983,25,50,-0.0001965,-0.00288,-0.0021465,NO,NO
1.0498,1.04985,1.04945,1.0497,12,1.04964,11,55,-0.000831,-0.002496,-0.0014355,NO,NO
1.0497,1.0497,1.04885,1.04885,32,1.04914,28,0,-0.0014895,-0.00255,-0.0011565,NO,NO
1.0489,1.04955,1.0489,1.04925,27,1.04933,20,5,-0.002493,-0.003786,-0.0022815,NO,NO
1.0492,1.0493,1.04895,1.04895,41,1.04912,25,10,-0.002115,-0.002781,-0.000792,NO,NO
1.04895,1.04925,1.0488,1.04925,26,1.048995,22,15,-0.002184,-0.002829,-0.000981,NO,NO
1.04925,1.04925,1.0487,1.04905,34,1.048975,28,20,-0.001932,-0.002085,-8.55E-05,NO,NO
1.049,1.0493,1.0489,1.0489,12,1.049135,10,25,-0.001932,-0.001599,-0.000423,BUY,NO
1.0491,1.0495,1.04905,1.04935,44,1.049225,33,30,-0.0015675,-0.000882,0.0002205,BUY,NO
1.0495,1.05005,1.04935,1.0496,50,1.04969,34,35,-0.0010215,0.000132,0.001008,BUY,NO
1.0496,1.0496,1.049,1.04915,43,1.049235,30,40,-0.0004155,0.001197,0.0013995,BUY,NO
1.0491,1.0493,1.0488,1.0489,33,1.048965,22,45,-0.0005835,0.00015,-0.0005535,NO,NO
1.04905,1.0492,1.049,1.049,15,1.049095,12,50,-0.000573,-0.000117,-0.0009765,NO,NO
1.04915,1.0494,1.0488,1.0491,26,1.0491,23,55,-0.000222,9.60E-05,-0.0004455,NO,NO
1.04905,1.04915,1.0488,1.04905,22,1.04904,15,0,-8.55E-05,-0.000435,-8.55E-05,NO,NO
1.0492,1.0492,1.0488,1.0491,17,1.04906,14,5,1.80E-05,-0.000483,0.000252,NO,NO
1.04905,1.0493,1.04885,1.04915,13,1.049085,11,10,-1.50E-06,-0.000537,-6.75E-05,NO,NO
1.0491,1.0494,1.0491,1.0494,23,1.04924,14,15,1.20E-05,-0.000369,7.65E-05,NO,NO
1.0495,1.0499,1.0495,1.0498,9,1.049695,8,20,0.0001365,0.000651,0.0009495,BUY,NO
1.0498,1.04995,1.04965,1.04995,10,1.049805,9,25,0.0005115,0.001674,0.001719,BUY,NO
1.05005,1.0501,1.0495,1.0495,10,1.04984,8,30,0.0007785,0.002049,0.0016965,NO,NO
1.0494,1.0494,1.0491,1.0491,8,1.049245,8,35,0.0004485,0.001317,-9.00E-05,NO,NO
1.0493,1.0497,1.0493,1.0497,16,1.049515,13,40,0.0002085,0.000399,-0.0013455,NO,NO
1.0495,1.0496,1.0493,1.0496,19,1.04947,15,45,0.000549,0.00057,-0.0003375,NO,NO
1.0497,1.04995,1.0497,1.04995,8,1.049855,7,50,0.0006135,0.000309,0.000243,SELL,NO
1.04995,1.0503,1.0496,1.0497,49,1.04987,46,55,0.0009975,0.000618,0.0013725,NO,NO
1.0497,1.0498,1.04965,1.0498,24,1.04976,20,0,0.0008145,0.000333,0.000387,NO,NO
1.0496,1.0496,1.0492,1.0492,49,1.04946,27,5,0.000492,0.000189,-0.0002115,SELL,NO
1.04935,1.0499,1.04925,1.0499,32,1.04948,25,10,-6.15E-05,-0.00027,-0.0011925,SELL,NO
1.0497,1.0499,1.04935,1.04955,68,1.04951,41,15,-6.60E-05,0.000165,-0.000189,NO,NO
1.0495,1.04955,1.04915,1.04955,13,1.049395,12,20,-0.0001695,-0.000414,-0.000171,NO,NO
1.0495,1.04955,1.0493,1.0494,67,1.049355,34,25,-0.0001845,-0.000699,-4.95E-05,NO,NO
1.0494,1.0496,1.0493,1.0496,11,1.049455,11,30,-0.000168,-0.000861,-0.000207,NO,NO
1.0493,1.0493,1.0489,1.04925,17,1.04915,17,35,-0.0001725,-0.000636,-0.0001845,NO,NO
1.04945,1.04945,1.04895,1.04905,12,1.04916,12,40,-0.000453,-0.000606,-0.0001395,NO,NO
1.0489,1.04895,1.0476,1.0477,38,1.0481,27,45,-0.0008505,-0.001035,-0.0009,NO,NO
1.04775,1.04825,1.04755,1.0482,33,1.047815,22,50,-0.0021735,-0.003624,-0.0037485,SELL,NO
1.0482,1.04885,1.0481,1.0488,32,1.048625,23,55,-0.001962,-0.003411,-0.0019755,NO,NO
1.04885,1.0491,1.0486,1.0489,38,1.048785,24,0,-0.000978,-0.001443,0.001125,NO,NO
1.0488,1.0492,1.0488,1.04905,21,1.049035,20,5,-0.0008025,-0.00117,0.0016605,NO,NO
1.04875,1.049,1.0483,1.0483,26,1.04864,21,10,-0.000651,-0.000177,0.001179,BUY,NO
1.0486,1.0486,1.04785,1.04805,58,1.04812,37,15,-0.0009705,0.000153,-0.0005445,NO,NO
1.04815,1.04865,1.0481,1.04865,76,1.04846,32,20,-0.0014445,-0.000696,-0.001836,NO,NO
1.04875,1.04875,1.04775,1.048,45,1.048095,27,25,-0.00081,0.000657,0.0001485,NO,NO
1.04805,1.04835,1.0471,1.04835,85,1.0477,61,30,-0.0010725,-0.001182,-0.0009225,NO,NO
1.0484,1.0488,1.04825,1.0487,46,1.04852,41,35,-0.0006075,-0.001731,-0.0001575,NO,NO
1.04865,1.04975,1.0485,1.04945,185,1.049215,87,40,0.000192,-0.000144,0.0014085,NO,NO
1.04935,1.0499,1.04895,1.04955,130,1.04956,63,45,0.0011415,0.001725,0.00324,BUY,NO
1.04975,1.05015,1.04945,1.04955,51,1.04978,42,50,0.001308,0.003183,0.0032625,BUY,NO
1.04985,1.04985,1.0494,1.0496,36,1.049605,32,55,0.0012525,0.004131,0.0019665,NO,NO
1.04915,1.04955,1.0488,1.0494,27,1.049185,24,0,0.000879,0.002841,-0.000585,NO,NO
1.04945,1.0499,1.04945,1.0498,58,1.04973,38,5,0.0009045,0.002244,-0.000774,NO,NO
1.04975,1.0499,1.04955,1.04955,22,1.0497,20,10,0.0016935,0.002379,0.000594,NO,NO
1.0498,1.0498,1.04935,1.0495,41,1.0495,29,15,0.0019875,0.001155,0.000702,SELL,NO
1.0496,1.0498,1.04915,1.04925,32,1.04946,23,20,0.0016275,2.40E-05,7.65E-05,NO,NO
1.0494,1.0494,1.0485,1.0485,31,1.048785,21,25,0.001257,-0.000246,-0.000603,SELL,NO
1.04855,1.0496,1.0484,1.0491,64,1.048995,42,30,-9.75E-05,-0.002178,-0.0024975,SELL,NO
1.04875,1.04895,1.04875,1.04885,31,1.04885,24,35,-0.0004755,-0.001638,-0.001125,NO,NO
1.0486,1.0487,1.048,1.0487,49,1.04842,44,40,-0.000978,-0.001929,-0.001071,NO,NO
