Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
1.0055,1.0059,1.00545,1.0059,52,1.00573,22,10,0.001272,0.002109,0.00099,NO,NO
1.00585,1.0059,1.00565,1.00565,43,1.00575,22,15,0.001455,0.002334,0.001251,NO,NO
1.00575,1.0059,1.00575,1.00585,29,1.005815,15,20,0.001401,0.001929,0.0003645,NO,NO
1.0059,1.006,1.0057,1.0057,45,1.005925,24,25,0.001479,0.001746,0.000432,NO,NO
1.0057,1.0058,1.00555,1.0056,56,1.005695,28,30,0.0013365,0.001224,2.70E-05,SELL,NO
1.0055,1.0057,1.00535,1.00535,76,1.005525,40,35,0.000936,0.000372,-0.0007155,SELL,NO
1.00535,1.0055,1.00535,1.0055,15,1.0054,10,40,0.0005895,-0.000507,-0.001089,SELL,NO
1.0057,1.0057,1.00555,1.00565,16,1.005625,12,45,0.000504,-0.00045,-0.0003105,NO,NO
1.00555,1.0057,1.00545,1.00545,34,1.005575,17,50,0.000342,-0.000522,9.45E-05,NO,NO
1.0055,1.00575,1.0055,1.00565,10,1.00562,6,55,0.000114,-0.000621,2.25E-05,NO,NO
1.00565,1.00575,1.00545,1.00555,34,1.005605,14,0,-1.65E-05,-0.000252,0.000288,NO,NO
1.00565,1.00565,1.0056,1.0056,9,1.00564,3,5,-0.000132,-2.10E-05,7.65E-05,BUY,NO
1.0057,1.00575,1.00555,1.00555,12,1.005675,8,10,-0.000162,0.000261,0.000216,NO,NO
1.0055,1.0055,1.00525,1.00525,25,1.005385,11,15,-0.0002505,0.000135,-0.000171,NO,NO
1.0053,1.0053,1.0052,1.00525,44,1.005275,20,20,-0.000477,-0.00051,-0.0008415,SELL,NO
1.0053,1.00565,1.0053,1.00565,24,1.0055,13,25,-0.0004185,-0.000765,-0.0007425,NO,NO
1.0056,1.00595,1.0055,1.0057,74,1.005795,38,30,-1.35E-05,-0.000144,0.0003285,NO,NO
1.0056,1.00565,1.0055,1.00565,9,1.005595,6,35,0.0001995,0.00015,0.0007515,NO,NO
1.00565,1.00565,1.00555,1.00555,11,1.00559,7,40,8.10E-05,0.000111,0.0002925,BUY,NO
1.0056,1.0057,1.0056,1.0057,7,1.00563,5,45,-1.35E-05,0.000243,-9.00E-05,NO,NO
1.0057,1.0057,1.00565,1.00565,6,1.005685,4,50,6.60E-05,0.000495,4.50E-05,NO,NO
1.00565,1.00595,1.00565,1.0059,15,1.005805,10,55,3.90E-05,0.000429,0.000153,NO,NO
1.00585,1.006,1.0058,1.00595,25,1.0059,18,0,0.0003015,0.000687,0.00054,NO,NO
1.00585,1.00585,1.0057,1.0057,16,1.00578,13,5,0.0004575,0.000612,0.000432,NO,NO
1.0057,1.00585,1.0056,1.00575,40,1.00575,18,10,0.0003375,0.00021,-0.000189,SELL,NO
1.0057,1.0059,1.0057,1.0059,20,1.005815,11,15,0.0002835,0.00024,-0.0003015,SELL,NO
1.0058,1.0059,1.0057,1.0059,15,1.00576,6,20,0.0003195,0.000312,-1.35E-05,SELL,NO
1.00585,1.00595,1.0058,1.00595,11,1.005835,6,25,0.000222,0.00012,0.0001035,SELL,NO
1.00595,1.00675,1.00595,1.0063,195,1.00648,95,30,0.000288,0.00024,0.000369,NO,NO
1.0064,1.007,1.0064,1.007,88,1.006825,52,35,0.000978,0.001515,0.001683,BUY,NO
1.00695,1.00695,1.0065,1.0065,46,1.00673,27,40,0.001452,0.002583,0.002385,NO,NO
1.0065,1.00685,1.0064,1.0065,28,1.006605,17,45,0.001032,0.002013,0.000531,NO,NO
1.0063,1.0064,1.0063,1.0064,15,1.00633,10,50,0.000792,0.00159,-0.000747,NO,NO
1.00635,1.00665,1.00635,1.00655,13,1.006515,10,55,0.0006375,0.000882,-0.001017,NO,NO
1.0065,1.00695,1.0064,1.00685,43,1.0066,28,0,0.0008355,0.000678,-0.000135,SELL,NO
1.007,1.00715,1.00625,1.00635,247,1.00669,106,5,0.0012285,0.000798,0.001035,NO,NO
1.00635,1.00665,1.00635,1.0065,87,1.00645,33,10,0.000876,-0.000336,-4.95E-05,NO,NO
1.0066,1.0066,1.0063,1.00645,21,1.006435,14,15,0.000663,-0.000234,-0.0001395,NO,NO
1.00645,1.0066,1.0063,1.0066,44,1.006485,28,20,0.000261,-0.000246,-0.0003645,SELL,NO
1.00655,1.00695,1.0064,1.00645,76,1.00674,55,25,6.00E-05,1.20E-05,9.00E-06,SELL,NO
1.00635,1.00645,1.0062,1.00645,25,1.00631,15,30,-0.000138,2.70E-05,6.30E-05,BUY,NO
1.00655,1.0067,1.0065,1.0067,17,1.00662,15,35,-0.000231,-0.000321,-0.000225,NO,NO
1.0066,1.0066,1.00575,1.00575,53,1.00618,36,40,7.80E-05,0.000159,0.0002565,BUY,NO
1.00575,1.00585,1.0055,1.0057,104,1.005655,56,45,-0.000657,-0.00132,-0.001791,SELL,NO
1.0057,1.0057,1.0052,1.0053,111,1.005375,59,50,-0.0010275,-0.00204,-0.0018495,NO,NO
1.0053,1.00535,1.0051,1.0052,94,1.00523,59,55,-0.0014715,-0.002772,-0.002232,NO,NO
1.00525,1.0055,1.0047,1.00485,196,1.0052,122,0,-0.0015645,-0.003117,-0.001332,NO,NO
1.0049,1.0056,1.0049,1.0051,123,1.00526,81,5,-0.001758,-0.00339,-0.001134,NO,NO
1.00515,1.0053,1.00455,1.0051,194,1.00495,109,10,-0.001587,-0.002367,-0.0002205,NO,NO
1.0051,1.0051,1.0045,1.0048,105,1.004865,64,15,-0.001761,-0.002238,-0.000486,NO,NO
1.00485,1.0049,1.00425,1.00475,51,1.00454,41,20,-0.0020175,-0.001806,-0.0007605,BUY,NO
1.0048,1.0048,1.0043,1.0047,81,1.00453,40,25,-0.002151,-0.001668,-0.0008415,BUY,NO
1.00475,1.00515,1.00465,1.00485,123,1.00492,73,30,-0.0018615,-0.001503,-0.0002925,BUY,NO
1.0048,1.0048,1.0038,1.00415,358,1.004055,146,35,-0.001317,-0.00072,0.0005265,BUY,NO
1.0042,1.00455,1.0039,1.00405,110,1.00431,52,40,-0.001779,-0.002259,-0.0013815,NO,NO
1.00405,1.00415,1.003,1.00355,373,1.003515,163,45,-0.001422,-0.001737,-0.0009855,NO,NO
1.00355,1.0041,1.0035,1.0037,128,1.003845,79,50,-0.0020805,-0.002853,-0.002403,NO,NO
1.0037,1.00395,1.00325,1.00365,133,1.00356,92,55,-0.001665,-0.002259,-0.0005715,NO,NO
1.00365,1.00475,1.0035,1.0046,331,1.004255,230,0,-0.0017565,-0.002175,-0.000729,NO,NO
1.0046,1.00545,1.0044,1.0053,372,1.00494,203,5,-0.0005715,-6.30E-05,0.0022815,BUY,NO
1.00525,1.0055,1.0047,1.0052,419,1.005185,183,10,0.0004485,0.002148,0.003402,BUY,NO
